Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Unit,Export_Value_corrected
Austria,14.550072,47.516231,Europe,EU,1000 US$,76241.779
Belgium,4.469936,50.503887,Europe,EU,1000 US$,68832.739
Bulgaria,25.48583,42.733883,Europe,EU,1000 US$,1227.6
Czech Republic,15.472961999999999,49.817492,Europe,EU,1000 US$,3416.66
Denmark,9.501785,56.26392,Europe,EU,1000 US$,56301.56499999999
Finland,25.748151,61.92411,Europe,EU,1000 US$,829.35
France,2.213749,46.227638,Europe,EU,1000 US$,1011992.9679999999
Germany,10.451526,51.165690999999995,Europe,EU,1000 US$,585017.003
Greece,21.824312,39.074208,Europe,EU,1000 US$,3985.2479999999996
Hungary,19.503304,47.162494,Europe,EU,1000 US$,45734.93
Ireland,-8.243889999999999,53.41291,Europe,EU,1000 US$,3958.82
Italy,12.56738,41.87194,Europe,EU,1000 US$,23079.535999999996
Luxembourg,6.129583,49.815273,Europe,EU,1000 US$,12.36
Netherlands,5.291266,52.132633,Europe,EU,1000 US$,1054229.8320000002
Netherlands Antilles,-68.2517,12.1902,Europe,EU,1000 US$,126.9
Norway,8.468946,60.472024,Europe,EU,1000 US$,34.32
Poland,19.145135999999997,51.919438,Europe,EU,1000 US$,30012.059999999998
Portugal,-8.224454,39.399871999999995,Europe,EU,1000 US$,6936.619999999999
Romania,24.96676,45.943160999999996,Europe,EU,1000 US$,2175.863
Serbia,20.457273,44.787197,Europe,EU,1000 US$,44533.74
Spain,-3.7492199999999998,40.463667,Europe,EU,1000 US$,305143.3300000001
Sweden,18.643501,60.128161,Europe,EU,1000 US$,2760.863
Switzerland,8.227511999999999,46.818188,Europe,EU,1000 US$,100.054
United Kingdom,-3.435973,55.378051,Europe,EU,1000 US$,1075091.3159999996
United States of America,-95.712891,37.09024,North America,USA,1000 US$,3253398.667999999
