Country_Code,Reporter_Countries,Startlon,Startlat,Reporter_Continent,Reporter_Region,Unit,Export_Value_corrected
AUT,Austria,14.550072,47.516231,Europe,EU,1000 US$,76241.779
BEL,Belgium,4.469936,50.503887,Europe,EU,1000 US$,68832.739
BGR,Bulgaria,25.48583,42.733883,Europe,EU,1000 US$,1227.6
CZE,Czech Republic,15.472962,49.817492,Europe,EU,1000 US$,3416.66
DNK,Denmark,9.501785,56.26392,Europe,EU,1000 US$,56301.565
FIN,Finland,25.748151,61.92411,Europe,EU,1000 US$,829.35
FRA,France,2.213749,46.227638,Europe,EU,1000 US$,1011992.968
DEU,Germany,10.451526,51.165691,Europe,EU,1000 US$,585017.003
GRC,Greece,21.824312,39.074208,Europe,EU,1000 US$,3985.248
HUN,Hungary,19.503304,47.162494,Europe,EU,1000 US$,45734.93
IRL,Ireland,-8.24389,53.41291,Europe,EU,1000 US$,3958.82
ITA,Italy,12.56738,41.87194,Europe,EU,1000 US$,23079.536
LUX,Luxembourg,6.129583,49.815273,Europe,EU,1000 US$,12.36
NLD,Netherlands,5.291266,52.132633,Europe,EU,1000 US$,1054229.832
ANT,Netherlands Antilles,-69.060087,12.226079,Europe,EU,1000 US$,126.9
NOR,Norway,8.468946,60.472024,Europe,EU,1000 US$,34.32
POL,Poland,19.145136,51.919438,Europe,EU,1000 US$,30012.06
PRT,Portugal,-8.224454,39.399872,Europe,EU,1000 US$,6936.62
ROU,Romania,24.96676,45.943161,Europe,EU,1000 US$,2175.863
SRB,Serbia,20.457273,44.787197,Europe,EU,1000 US$,44533.74
ESP,Spain,-3.74922,40.463667,Europe,EU,1000 US$,305143.33
SWE,Sweden,18.643501,60.128161,Europe,EU,1000 US$,2760.863
CHE,Switzerland,8.227512,46.818188,Europe,EU,1000 US$,100.054
GBR,United Kingdom,-3.435973,55.378051,Europe,EU,1000 US$,1075091.316
USA,United States of America,-95.712891,37.09024,North America,USA,1000 US$,3253398.668
